text,risk
I am having a good day,low
I feel happy today,low
I enjoyed spending time with my friends,low
I am excited about the weekend,low
I feel calm and relaxed,low
I am looking forward to tomorrow,low
I had a nice day with my family,low
I feel positive about my future,low
Things are going well for me,low
I am enjoying my studies,low
I feel comfortable today,low
I am excited to learn new things,low
I had a productive day,low
I feel peaceful this evening,low
I am enjoying my hobbies,low
I feel confident about my work,low
Today was a pleasant day,low
I feel grateful for my friends,low
I am feeling motivated,low
I am enjoying my time with family,low
I feel stressed about my exams,medium
I have been feeling worried lately,medium
I am having a difficult day,medium
I feel overwhelmed with my assignments,medium
I am finding it hard to concentrate,medium
I have been feeling lonely recently,medium
I am nervous about my future,medium
I feel stressed because of college,medium
I have too many things to handle,medium
I keep worrying about my problems,medium
I feel frustrated with everything,medium
I am having trouble sleeping because I am worried,medium
I feel mentally tired lately,medium
I am struggling to manage my stress,medium
I feel anxious about my exams,medium
I have been feeling down recently,medium
I feel like everything is becoming difficult,medium
College work is making me stressed,medium
I am worried about my results,medium
I feel pressured by my responsibilities,medium
I feel completely hopeless,high
I don't know how to deal with this anymore,high
I feel like I cannot go on,high
Everything feels unbearable right now,high
I feel completely helpless,high
I don't see any way out of this situation,high
I feel like there is no hope left,high
I cannot handle this anymore,high
I feel trapped and hopeless,high
I feel like giving up on everything,high
I don't know what to do anymore,high
I feel completely lost and helpless,high
I cannot see a way out of my problems,high
I feel that everything is falling apart,high
I have lost all hope,high
I feel extremely helpless right now,high
I don't think things will ever get better,high
I feel like there is no way forward,high
I feel completely overwhelmed and hopeless,high
I feel unable to cope anymore,high
